area,rooms,district,agent,price
190.56209383870657,2.0,C,ag228,201701.95039904953
136.00628833468892,2.0,E,ag109,127401.0060763386
159.14951936422958,4.0,C,ag077,227448.37411815522
209.63572796805832,5.0,A,ag279,359077.00936380017
194.7023196059987,5.0,A,ag231,363859.77991259977
80.90888480494357,4.0,D,ag187,159989.0559349575
158.00353670102356,6.0,A,ag249,594601.4100518682
113.94571166809209,5.0,B,ag118,280530.6468367863
115.87124592825768,1.0,E,ag201,57316.53338223413
,3.0,C,ag231,246773.4574967362
125.76174284643511,6.0,E,ag011,199529.8999605786
178.170940278519,1.0,E,ag009,115376.48561054125
150.44150900587974,1.0,E,ag065,118178.52505278972
124.86700065971314,1.0,E,ag218,94025.58436114776
137.75452930981703,5.0,E,ag075,235603.599731641
133.34697309497068,4.0,A,ag129,401344.63231453474
,6.0,E,ag121,287850.1486435267
111.79366944936797,6.0,E,ag286,106757.61043979225
132.52270806603605,6.0,C,ag236,296641.89203422924
85.83617042793101,2.0,E,ag087,61109.813460030775
30.0,3.0,E,ag276,25968.119812341407
146.14474381761443,3.0,E,ag158,133515.52099848216
154.57744795438023,1.0,B,ag165,248837.45107457848
90.31339918374232,2.0,B,ag278,137080.59824047447
210.7901849595043,4.0,B,ag061,300135.35438832047
61.82537301604941,2.0,E,ag298,29964.98935300663
121.83034069205785,2.0,A,ag105,481527.82689257537
112.51264599896666,3.0,B,ag020,174291.8830363597
181.3111685743383,5.0,D,ag193,248642.00575193568
178.7743507960114,1.0,B,ag120,198308.44521397853
126.19789702787665,5.0,C,ag030,384971.57574308885
135.12650078408694,6.0,A,ag140,449995.7573324299
84.48857009479549,3.0,C,ag149,186031.34246027688
40.76814127104292,2.0,C,ag197,84671.63623153944
106.08351402695389,1.0,B,ag016,122320.90106572246
126.25395876415921,4.0,C,ag043,196654.37254306677
169.21162722910884,4.0,C,ag023,198625.62545755942
168.09519395137644,2.0,A,ag168,406776.43559064757
104.5069273036819,5.0,B,ag295,274663.620706055
107.90788997698658,5.0,A,ag104,641990.3170111546
78.0578813973163,1.0,E,ag294,25751.039911154112
63.199282512840995,6.0,B,ag176,173818.57057525858
51.749192374999495,3.0,C,ag137,152716.98246835193
198.0310158092716,5.0,B,ag252,361859.3629690398
99.61391272993386,4.0,B,ag236,283149.73657976993
102.47702793555254,4.0,E,ag053,206505.3044214049
69.88818559800295,4.0,A,ag254,501123.56012996804
151.0996142332764,6.0,B,ag156,272939.8945892881
55.44408609768195,5.0,B,ag035,173402.16876204306
111.49038879144125,2.0,D,ag020,215709.10439756533
84.18133755225298,5.0,B,ag262,184247.18182873845
135.47609991437048,5.0,A,ag041,444584.47769120807
99.56779449724507,1.0,D,ag217,145974.96902790305
72.77471263510351,3.0,C,ag238,193125.53458859163
118.8727108664538,6.0,C,ag145,284281.7335879632
137.1332748212167,5.0,B,ag111,127195.22379885943
122.66068889532671,5.0,A,ag065,487298.58483988215
132.09887590959124,3.0,B,ag089,191556.73705471485
94.62711625276145,4.0,C,ag047,152490.9506522927
105.49035336051448,6.0,B,ag042,257036.26773588356
93.10158208896196,3.0,B,ag150,222446.0253382954
,5.0,C,ag147,173867.37680529975
87.47414871822184,2.0,C,ag285,204571.31390767702
50.94869590673292,1.0,D,ag246,97002.87174238366
127.09704569015011,1.0,D,ag172,192108.37806917136
103.92876255166952,3.0,A,ag260,309101.9251177904
54.79206612135822,3.0,A,ag052,309714.75892741693
,4.0,C,ag017,216742.04847216594
83.70806542467031,1.0,A,ag145,308734.3806622277
122.07781583184556,3.0,A,ag104,390950.54592151975
149.16362248710146,6.0,D,ag274,276345.92597551283
125.15931643029643,5.0,C,ag000,239275.6283378277
165.57602738173202,5.0,D,ag119,275602.65564725024
70.6069671858539,2.0,B,ag035,128947.84488809343
136.09366564710197,6.0,C,ag281,189306.04679312775
,2.0,E,ag093,70706.05449043457
85.16811403272473,6.0,A,ag044,665175.1238121062
96.84601340942338,3.0,A,ag230,486192.6954183806
107.5378987149051,4.0,C,ag260,163831.69662505193
122.24661368918981,4.0,E,ag198,184696.56204412814
73.39400636866574,4.0,C,ag145,307345.78877995675
156.0330594781675,6.0,A,ag221,476259.530226397
138.6264975892184,4.0,A,ag272,525266.7498472651
58.55025254891105,1.0,C,ag194,148456.70661030788
179.530087751824,6.0,B,ag078,426341.88443814643
195.83556704122333,6.0,D,ag177,509608.901960599
167.15118284638604,4.0,C,ag024,203162.94406014355
112.80300656750596,2.0,B,ag008,172681.0300499611
77.1698951395783,6.0,E,ag200,162321.66359465182
162.17806907724548,2.0,A,ag289,474626.05663253344
103.87292212107282,6.0,A,ag069,552909.3910283392
,1.0,C,ag096,201618.03569410992
128.3309991230744,3.0,E,ag256,88834.33731747804
,5.0,C,ag299,370840.9132489164
134.25465588697608,2.0,D,ag262,202559.54289498483
148.26292672767792,2.0,C,ag165,147664.0712687168
120.42000082883281,6.0,A,ag029,568712.4065211264
191.43481975623342,1.0,A,ag120,478174.13116491487
125.07648370814479,2.0,B,ag122,200232.97530375305
136.07957453778806,5.0,D,ag229,243013.36506440543
195.32602788225017,1.0,B,ag131,331527.1827483182
66.08963755430214,4.0,D,ag074,191585.51943823745
69.18060006057065,4.0,A,ag297,303019.58498391975
158.77586832632045,4.0,C,ag096,175962.83864490615
73.0750637954336,5.0,A,ag156,328588.9390834319
197.7448474259717,3.0,B,ag270,150826.6116770798
103.4552407696101,2.0,B,ag227,143777.7885168914
90.1018075423697,5.0,C,ag290,222149.52743630818
196.9176810592154,3.0,E,ag098,141903.87999079554
179.22059165737699,1.0,A,ag075,352693.6560245451
194.70235841706278,5.0,B,ag131,471401.93512076006
156.24178633101542,1.0,E,ag113,103994.12570645171
85.55097259781189,3.0,E,ag034,118241.13662525565
196.40259812396135,5.0,A,ag211,497842.9322550166
109.27986516194478,2.0,B,ag200,152393.67425480013
152.0982558318558,3.0,E,ag204,84884.13926360148
157.89007871094992,2.0,B,ag106,249468.2516197759
113.79959627636663,1.0,E,ag224,77422.2764675732
144.5631748138432,2.0,A,ag177,362196.6351767385
156.88826686266106,5.0,A,ag011,445918.5086782379
135.0570212462252,5.0,B,ag104,318671.2521762006
76.02396837663221,4.0,A,ag240,312804.5687575586
131.92952696824224,6.0,D,ag278,231846.6253897051
173.0554358674812,2.0,A,ag196,457958.13244516373
92.21728561074538,4.0,C,ag297,165184.59250610342
114.01461838689318,3.0,A,ag298,453221.69256514584
102.5938579311345,1.0,B,ag187,101369.76342393721
193.97054913917367,3.0,E,ag205,275604.9247129838
146.89179028049742,6.0,D,ag095,349842.7091305433
136.2984734496444,1.0,B,ag003,163975.87540538065
89.20335702218735,6.0,B,ag153,192271.1082534258
141.5699676516727,2.0,E,ag108,85645.22145679987
93.02669357370496,5.0,E,ag223,110292.71097878052
121.27322233097405,2.0,C,ag110,119726.41297744383
,1.0,B,ag266,167164.34187530188
147.05733179786,4.0,D,ag013,269115.09000975406
143.06363266459763,1.0,C,ag003,219642.17746638184
111.66804977688021,4.0,C,ag140,326942.8887256887
135.8402685064658,3.0,D,ag008,292291.71611364407
76.27753965077977,5.0,E,ag266,135705.3285280406
60.34969629177578,3.0,E,ag262,49944.30879831022
,2.0,B,ag299,226219.8277528985
126.66693981490116,6.0,C,ag149,291662.9461889716
145.40125747568425,4.0,D,ag269,229920.10322182495
215.32579099455768,4.0,D,ag028,277218.7120256052
157.77917947961654,3.0,D,ag015,304872.7482609169
83.48711098223366,5.0,C,ag109,301642.61366939696
164.68065152383411,5.0,A,ag179,457133.86357246817
67.36370357953916,3.0,A,ag281,306930.6126266034
101.53661580741164,5.0,B,ag018,269737.4357687384
117.27033578701474,2.0,C,ag039,142710.36848207028
188.53370886597466,6.0,C,ag176,393681.7501619885
90.2098071180624,1.0,A,ag027,486613.8403528239
86.94245845363943,4.0,E,ag044,96335.05866738706
116.06189902298271,6.0,A,ag166,468926.8395638255
93.46086854551571,4.0,C,ag241,318142.22513884015
165.0654368842603,4.0,D,ag000,241455.3690812427
76.80273966546306,1.0,C,ag137,105456.25252159954
74.1012539035559,2.0,B,ag022,98066.31441525213
,3.0,A,ag125,316659.7985905445
100.07870197230781,5.0,B,ag183,159451.6728243523
197.18128215267944,5.0,A,ag159,1084991.2565128938
157.97683227703044,1.0,A,ag281,441824.3898133756
,4.0,B,ag011,220953.37301567686
70.98257924679328,5.0,B,ag185,150469.39394526582
,3.0,D,ag055,144975.33430908044
79.99138610441742,5.0,B,ag273,217761.95819877632
58.209156128895536,4.0,E,ag104,75421.98207386438
,6.0,C,ag256,359977.93127705634
132.677704476994,3.0,D,ag267,246921.2822653728
156.83435295123274,4.0,A,ag036,588389.7801453717
132.74910611772086,4.0,E,ag227,151146.9387447296
154.27322447610766,1.0,B,ag205,209435.04676828647
93.95897626799413,4.0,B,ag252,175171.00042532245
78.63028632862141,3.0,E,ag264,59513.00383187417
147.2637807312651,1.0,C,ag217,158298.2787920001
87.86361343304635,1.0,E,ag233,39829.506468439235
92.41800888999198,3.0,A,ag009,427572.816913068
101.77869985930627,1.0,E,ag118,46631.425580384865
120.69916636100227,3.0,D,ag084,212127.08345448168
105.84024354986065,5.0,E,ag260,225449.9927344506
65.00194826327925,1.0,E,ag039,6373.682310079446
94.25526388668438,5.0,A,ag208,306345.3259993526
31.063873911022938,1.0,A,ag238,255230.86307431344
145.0092580410875,4.0,C,ag206,291892.42651567317
55.9176937757301,6.0,A,ag215,384649.3367947005
75.82466642286198,3.0,A,ag238,439685.0549965113
,4.0,A,ag123,199009.23141193358
90.41748014434746,5.0,E,ag048,75621.8783713094
181.72058381626942,3.0,E,ag286,153334.07546762924
68.28572361106205,3.0,A,ag003,668738.8572846712
130.6820347739673,6.0,B,ag010,280677.23848021927
118.42868727090017,5.0,A,ag288,253198.74951635645
73.27626009035211,3.0,A,ag149,318298.1692015619
140.93106642127015,3.0,C,ag110,251975.70904896923
113.13814675111007,1.0,A,ag146,430096.7250987171
150.8716220485467,2.0,A,ag225,450914.82308681717
152.94016615854926,4.0,C,ag179,238460.07884362753
206.5294379712276,2.0,A,ag204,540962.7961186176
173.46111797745567,3.0,A,ag191,598380.2923217219
105.23272648230225,6.0,D,ag052,222181.04784875826
110.42483289696294,6.0,C,ag179,252500.71486462574
163.98638383548453,2.0,C,ag169,206828.08884726203
146.21054922890391,6.0,D,ag273,193385.36632525738
145.60526104390368,6.0,C,ag013,215886.08422170044
55.32175822756662,1.0,B,ag097,44987.48315766704
119.02695502404258,5.0,E,ag278,167522.0954191998
90.47876363177245,5.0,E,ag244,125762.67372608151
131.19698396172953,2.0,C,ag131,166471.90055538816
116.07398441428168,1.0,E,ag159,60550.94344937752
156.40715632370367,6.0,A,ag032,576605.4860502093
132.68872860765208,6.0,A,ag177,407983.28982609435
151.45311848435904,5.0,B,ag039,370718.88744814653
101.34323613056227,2.0,D,ag238,101645.67307836632
82.22214976326998,2.0,E,ag024,52044.255797620644
103.59801227189806,4.0,B,ag043,198653.3109091325
119.31918344554238,1.0,E,ag218,79545.34197052474
135.16606942220326,4.0,A,ag219,384514.4230954829
210.37235802763408,2.0,B,ag090,340118.9697095903
118.30971393357429,4.0,B,ag159,205911.84864451928
81.76219998028893,6.0,D,ag040,225937.9873197819
106.16072897202454,4.0,A,ag223,391302.0134502837
101.45616101415624,2.0,B,ag264,180335.72948710676
139.2592589509385,5.0,A,ag164,574632.2006195094
58.36811942221501,3.0,A,ag186,286592.72867931006
122.53047976801327,5.0,C,ag285,174044.49492987717
126.26026151861502,6.0,C,ag245,216170.61796417795
129.28724144801103,1.0,D,ag208,160792.03730779263
,5.0,A,ag084,419358.5754552769
110.48313081055971,6.0,C,ag136,269824.3710652259
63.037563640698735,2.0,E,ag119,27559.63421468843
100.26720466551224,4.0,A,ag292,488367.17929815105
98.28554095933129,1.0,B,ag187,117965.65240975395
136.642001850457,1.0,A,ag235,240398.06291765586
73.75270272712349,1.0,B,ag108,102663.4556570921
151.24792406839973,4.0,D,ag271,288096.84659464075
179.77938177965476,6.0,C,ag013,341847.2393230983
37.20059899945869,5.0,E,ag153,84920.69610079704
137.05034923112404,4.0,C,ag254,250902.78427355242
147.0763214012098,6.0,B,ag229,228276.31388020393
94.50251897791084,3.0,D,ag208,248590.27122105684
104.10912742684809,1.0,B,ag130,118989.42217294878
114.68477689652178,2.0,D,ag161,237637.04680826052
